,Algorithm,Benchmark,function_calls,quality_diversity
0,GB-EPI,USRCAT,0,2.46845030451444
1,GB-EPI,USRCAT,50,2.9644724195643377
2,GB-EPI,USRCAT,100,3.918361102352603
3,GB-EPI,USRCAT,150,4.872249785140868
4,GB-EPI,USRCAT,200,5.826138467929132
5,GB-EPI,USRCAT,250,6.780027150717397
6,GB-EPI,USRCAT,300,7.7339158335056615
7,GB-EPI,USRCAT,350,8.2747353077368
8,GB-EPI,USRCAT,400,8.724881053260273
9,GB-EPI,USRCAT,450,9.175026798783747
10,GB-EPI,USRCAT,500,9.625172544307222
11,GB-EPI,USRCAT,550,10.075318289830696
12,GB-EPI,USRCAT,600,10.366351530046668
13,GB-EPI,USRCAT,650,10.601480376505949
14,GB-EPI,USRCAT,700,10.83660922296523
15,GB-EPI,USRCAT,750,11.07173806942451
16,GB-EPI,USRCAT,800,11.306866915883791
17,GB-EPI,USRCAT,850,11.541995762343072
18,GB-EPI,USRCAT,900,11.74005059092333
19,GB-EPI,USRCAT,950,11.926397834910212
20,GB-EPI,USRCAT,1000,12.112745078897094
21,GB-EPI,USRCAT,1050,12.299092322883975
22,GB-EPI,USRCAT,1100,12.485439566870859
23,GB-EPI,USRCAT,1150,12.649530618718504
24,GB-EPI,USRCAT,1200,12.770418474060572
25,GB-EPI,USRCAT,1250,12.89130632940264
26,GB-EPI,USRCAT,1300,13.012194184744708
27,GB-EPI,USRCAT,1350,13.133082040086776
28,GB-EPI,USRCAT,1400,13.321090472685675
29,GB-EPI,USRCAT,1450,13.628424375963387
30,GB-EPI,USRCAT,1500,13.9357582792411
0,GB-EPI,Zernike,0,0.673237207286032
1,GB-EPI,Zernike,50,0.8715157899613127
2,GB-EPI,Zernike,100,1.238698350471092
3,GB-EPI,Zernike,150,1.6058809109808712
4,GB-EPI,Zernike,200,1.9730634714906505
5,GB-EPI,Zernike,250,2.3402460320004295
6,GB-EPI,Zernike,300,2.707428592510209
7,GB-EPI,Zernike,350,2.921217800107616
8,GB-EPI,Zernike,400,3.128615618000341
9,GB-EPI,Zernike,450,3.336013435893066
10,GB-EPI,Zernike,500,3.543411253785791
11,GB-EPI,Zernike,550,3.750809071678516
12,GB-EPI,Zernike,600,3.864397698829263
13,GB-EPI,Zernike,650,3.94836237100886
14,GB-EPI,Zernike,700,4.032327043188456
15,GB-EPI,Zernike,750,4.116291715368053
16,GB-EPI,Zernike,800,4.2002563875476495
17,GB-EPI,Zernike,850,4.336409887110059
18,GB-EPI,Zernike,900,4.497122834852616
19,GB-EPI,Zernike,950,4.657835782595174
20,GB-EPI,Zernike,1000,4.818548730337731
21,GB-EPI,Zernike,1050,4.979261678080288
22,GB-EPI,Zernike,1100,5.139974625822846
23,GB-EPI,Zernike,1150,5.268015243026032
24,GB-EPI,Zernike,1200,5.347047364420162
25,GB-EPI,Zernike,1250,5.4260794858142924
26,GB-EPI,Zernike,1300,5.505111607208423
27,GB-EPI,Zernike,1350,5.5841437286025535
28,GB-EPI,Zernike,1400,5.663175849996684
